IMF1(t-1),IMF1(t-2),IMF1(t-3),IMF2(t-1),IMF2(t-2),IMF2(t-3),IMF3(t-1),IMF3(t-2),IMF3(t-3),IMF4(t-1),IMF4(t-2),IMF4(t-3),IMF5(t-1),IMF5(t-2),IMF5(t-3),IMF6(t-1),IMF6(t-2),IMF6(t-3),IMF7(t-1),IMF7(t-2),IMF7(t-3),IMF8(t-1),IMF8(t-2),IMF8(t-3),IMF9(t-1),IMF9(t-2),IMF9(t-3),IMF10(t-1),IMF10(t-2),IMF10(t-3),IMF11(t-1),IMF11(t-2),IMF11(t-3),Tar
-0.232294316,-0.227866292,-0.225878484,-0.224361567,-0.189674507,-0.171172098,-0.146519728,-0.131615081,-0.123591406,-0.058628057,-0.049592162,-0.034184184,-0.031549621,-0.0307672,-0.030569173,-0.019765707,-0.011339502,-0.010606516,0.000944735,0.009377438,0.016873746,0.022880971,0.028874804,0.042309127,0.05432923,0.07084644,0.080344252,0.085760179,0.09232278,0.211679479,0.381827096,0.387518208,0.391359001,0.246607381
-0.225878484,-0.189674507,-0.205371486,-0.232294316,-0.146519728,-0.168743899,-0.100045669,-0.123591406,-0.058628057,0.04077685,0.05432923,-0.0307672,-0.011339502,-0.010606516,0.041418979,0.022880971,0.042309127,0.011361527,-0.007688271,0.000944735,0.009377438,-0.030569173,-0.049592162,0.016716314,0.055963819,-0.171172098,0.052355997,0.09232278,0.080344252,0.07084644,0.391359001,0.381827096,0.415746691,0.994602383
-0.205371486,-0.146519728,-0.171759279,-0.225878484,-0.100045669,0.06584482,-0.051900266,-0.058628057,0.04077685,0.129051788,0.055963819,-0.010606516,0.042309127,0.011361527,-0.053350653,-0.030569173,0.016716314,0.023750577,-0.015480766,-0.007688271,0.000944735,0.041418979,0.05432923,-0.045392308,-0.144051079,-0.168743899,0.012702744,0.080344252,0.052355997,-0.171172098,0.415746691,0.391359001,0.454108329,1.222138086
-0.171759279,-0.100045669,-0.126713921,-0.205371486,-0.051900266,0.197042618,-0.00369128,0.04077685,0.129051788,0.156778899,-0.144051079,0.011361527,0.016716314,0.023750577,0.064008644,0.041418979,-0.045392308,0.022936817,-0.021261937,-0.015480766,-0.007688271,-0.053350653,0.055963819,-0.021847871,0.033245696,0.06584482,-0.032670672,0.052355997,0.012702744,-0.168743899,0.454108329,0.415746691,0.505076173,1.245763224
-0.126713921,-0.051900266,-0.072515845,-0.171759279,-0.00369128,0.052113478,0.043044188,0.129051788,0.156778899,0.099841909,0.033245696,0.023750577,-0.045392308,0.022936817,-0.071226305,-0.053350653,-0.021847871,0.013072283,-0.023945893,-0.021261937,-0.015480766,0.064008644,-0.144051079,0.046143029,0.145206549,0.197042618,-0.076685617,0.012702744,-0.032670672,0.06584482,0.505076173,0.454108329,0.566842094,1.586627023
-0.072515845,-0.00369128,-0.011944379,-0.126713921,0.043044188,-0.150840009,0.086859013,0.156778899,0.099841909,-0.019464009,0.145206549,0.022936817,-0.021847871,0.013072283,0.073423189,0.064008644,0.046143029,0.002294771,-0.022751118,-0.023945893,-0.021261937,-0.071226305,0.033245696,0.026717266,-0.107836814,0.052113478,-0.111903433,-0.032670672,-0.076685617,0.197042618,0.566842094,0.505076173,0.637218407,1.943350581
-0.011944379,0.043044188,0.051858323,-0.072515845,0.086859013,-0.133321402,0.126408148,0.099841909,-0.019464009,-0.137458863,-0.107836814,0.013072283,0.046143029,0.002294771,-0.069829796,-0.071226305,0.026717266,-0.002612479,-0.017386664,-0.022751118,-0.023945893,0.073423189,0.145206549,-0.044836259,-0.108350111,-0.150840009,-0.131575474,-0.076685617,-0.111903433,0.052113478,0.637218407,0.566842094,0.713711958,1.884319505
0.051858323,0.086859013,0.115543354,-0.011944379,0.126408148,0.058838096,0.160458002,-0.019464009,-0.137458863,-0.18311833,-0.108350111,0.002294771,0.026717266,-0.002612479,0.06051644,0.073423189,-0.044836259,-0.000187315,-0.008171014,-0.017386664,-0.022751118,-0.069829796,-0.107836814,-0.031392676,0.15934192,-0.133321402,-0.130835031,-0.111903433,-0.131575474,-0.150840009,0.713711958,0.637218407,0.793608936,1.869706616
0.115543354,0.126408148,0.175723469,0.051858323,0.160458002,0.15110283,0.187897573,-0.137458863,-0.18311833,-0.122762105,0.15934192,-0.002612479,-0.044836259,-0.000187315,-0.046283518,-0.069829796,-0.031392676,0.005203551,0.003941093,-0.008171014,-0.017386664,0.06051644,-0.108350111,0.041338287,0.059716647,0.058838096,-0.107807222,-0.131575474,-0.130835031,-0.133321402,0.793608936,0.713711958,0.874067481,1.935825586
0.175723469,0.160458002,0.22914544,0.115543354,0.187897573,0.034558746,0.20775503,-0.18311833,-0.122762105,0.014107782,0.059716647,-0.000187315,-0.031392676,0.005203551,0.028503949,0.06051644,0.041338287,0.006487264,0.017435077,0.003941093,-0.008171014,-0.046283518,0.15934192,0.035810816,-0.21588757,0.15110283,-0.0643682,-0.130835031,-0.107807222,0.058838096,0.874067481,0.793608936,0.952214891,1.536433448
0.22914544,0.187897573,0.272857666,0.175723469,0.20775503,-0.110386135,0.219222271,-0.122762105,0.014107782,0.148029722,-0.21588757,0.005203551,0.041338287,0.006487264,-0.008980849,-0.046283518,0.035810816,-0.001191906,0.030411428,0.017435077,0.003941093,0.028503949,0.059716647,-0.0354965,0.05322171,0.034558746,-0.006306422,-0.107807222,-0.0643682,0.15110283,0.952214891,0.874067481,1.025246037,1.426478519
0.272857666,0.20775503,0.30436449,0.22914544,0.219222271,-0.091898886,0.221688296,0.014107782,0.148029722,0.196858206,0.05322171,0.006487264,0.035810816,-0.001191906,-0.010180369,0.028503949,-0.0354965,-0.016622205,0.040838532,0.030411428,0.017435077,-0.008980849,-0.21588757,-0.039752378,0.19026706,-0.110386135,0.05726829,-0.0643682,-0.006306422,0.034558746,1.025246037,0.952214891,1.090519546,1.623552954
0.30436449,0.219222271,0.321759239,0.272857666,0.221688296,0.040582267,0.214780412,0.148029722,0.196858206,0.128010893,0.19026706,-0.001191906,-0.0354965,-0.016622205,0.026741157,-0.008980849,-0.039752378,-0.032130515,0.046849379,0.040838532,0.030411428,-0.010180369,0.05322171,0.027256027,-0.150449487,-0.091898886,0.115271748,-0.006306422,0.05726829,-0.110386135,1.090519546,1.025246037,1.145648385,1.71282917
0.321759239,0.221688296,0.323828997,0.30436449,0.214780412,0.098897358,0.19841044,0.196858206,0.128010893,-0.018802803,-0.150449487,-0.016622205,-0.039752378,-0.032130515,-0.038604133,-0.010180369,0.027256027,-0.037210417,0.047039256,0.046849379,0.040838532,0.026741157,0.19026706,0.042875583,-0.091885007,0.040582267,0.156575688,0.05726829,0.115271748,-0.091898886,1.145648385,1.090519546,1.188581653,0.986293592
0.323828997,0.214780412,0.310125469,0.321759239,0.19841044,0.022266314,0.172821445,0.128010893,-0.018802803,-0.15467849,-0.091885007,-0.032130515,0.027256027,-0.037210417,0.044208387,0.026741157,0.042875583,-0.024500374,0.040718735,0.047039256,0.046849379,-0.038604133,-0.150449487,-0.016733184,0.151735039,0.098897358,0.172187562,0.115271748,0.156575688,0.040582267,1.188581653,1.145648385,1.217674683,0.658969721
0.310125469,0.19841044,0.280997944,0.323828997,0.172821445,-0.067216165,0.13862929,-0.018802803,-0.15467849,-0.196701822,0.151735039,-0.037210417,0.042875583,-0.024500374,-0.042978911,-0.038604133,-0.016733184,0.005043296,0.028080284,0.040718735,0.047039256,0.044208387,-0.091885007,-0.044771204,0.046362661,0.022266314,0.157243086,0.156575688,0.172187562,0.098897358,1.217674683,1.188581653,1.231744989,0.526441524
0.280997944,0.172821445,0.237586254,0.310125469,0.13862929,-0.054286053,0.096852631,-0.15467849,-0.196701822,-0.1199539,0.046362661,-0.024500374,-0.016733184,0.005043296,0.035688454,0.044208387,-0.044771204,0.040821158,0.010247266,0.028080284,0.040718735,-0.042978911,0.151735039,0.004264876,-0.167216366,-0.067216165,0.112362159,0.172187562,0.157243086,0.022266314,1.231744989,1.217674683,1.230112039,0.01013986
0.237586254,0.13862929,0.181773604,0.280997944,0.096852631,0.023613963,0.048924964,-0.196701822,-0.1199539,0.027190004,-0.167216366,0.005043296,-0.044771204,0.040821158,-0.024565253,-0.042978911,0.004264876,0.066388743,-0.01081019,0.010247266,0.028080284,0.035688454,0.046362661,0.045021376,0.009386818,-0.054286053,0.044009473,0.157243086,0.112362159,-0.067216165,1.230112039,1.231744989,1.212619453,-0.164149726
0.181773604,0.096852631,0.116101204,0.237586254,0.048924964,0.0537287,-0.003316961,-0.1199539,0.027190004,0.154088585,0.009386818,0.040821158,0.004264876,0.066388743,0.013026031,0.035688454,0.045021376,0.067036687,-0.032489206,-0.01081019,0.010247266,-0.024565253,-0.167216366,0.009580413,0.191750765,0.023613963,-0.036315832,0.112362159,0.044009473,-0.054286053,1.212619453,1.230112039,1.179638784,-0.045840419
0.116101204,0.048924964,0.043648585,0.181773604,-0.003316961,0.007855094,-0.057672654,0.027190004,0.154088585,0.184803514,0.191750765,0.066388743,0.045021376,0.067036687,-0.005018965,-0.024565253,0.009580413,0.037649167,-0.051875452,-0.032489206,-0.01081019,0.013026031,0.009386818,-0.043263753,-0.147890642,0.0537287,-0.113996055,0.044009473,-0.036315832,0.023613963,1.179638784,1.212619453,1.132054752,-0.10408195
0.043648585,-0.003316961,-0.032114754,0.116101204,-0.057672654,-0.036895011,-0.111647618,0.154088585,0.184803514,0.104401712,-0.147890642,0.067036687,0.009580413,0.037649167,0.004091004,0.013026031,-0.043263753,-0.013205373,-0.066132154,-0.051875452,-0.032489206,-0.005018965,0.191750765,-0.024032782,-0.062724824,0.007855094,-0.174002883,-0.036315832,-0.113996055,0.0537287,1.132054752,1.179638784,1.071232403,0.61656371
-0.032114754,-0.057672654,-0.107499186,0.043648585,-0.111647618,-0.01976018,-0.162553149,0.184803514,0.104401712,-0.034181481,-0.062724824,0.037649167,-0.043263753,-0.013205373,-0.012404568,-0.005018965,-0.024032782,-0.065500113,-0.072905097,-0.066132154,-0.051875452,0.004091004,-0.147890642,0.039265939,0.166897616,-0.036895011,-0.203885593,-0.113996055,-0.174002883,0.007855094,1.071232403,1.132054752,0.998967337,0.099918814
-0.107499186,-0.111647618,-0.178777946,-0.032114754,-0.162553149,0.022984651,-0.20763335,0.104401712,-0.034181481,-0.145463583,0.166897616,-0.013205373,-0.024032782,-0.065500113,0.029982136,0.004091004,0.039265939,-0.095899632,-0.070686649,-0.072905097,-0.066132154,-0.012404568,-0.062724824,0.038173258,-0.103531462,-0.01976018,-0.196428312,-0.174002883,-0.203885593,-0.036895011,0.998967337,1.071232403,0.917420749,0.256672794
-0.178777946,-0.162553149,-0.242374167,-0.107499186,-0.20763335,0.022242965,-0.244213758,-0.034181481,-0.145463583,-0.164971072,-0.103531462,-0.065500113,0.039265939,-0.095899632,-0.054429293,-0.012404568,0.038173258,-0.088430606,-0.059084549,-0.070686649,-0.072905097,0.029982136,0.166897616,-0.032994988,0.022458584,0.022984651,-0.151394388,-0.203885593,-0.196428312,-0.01976018,0.917420749,0.998967337,0.829041547,0.164852831
-0.242374167,-0.20763335,-0.295042577,-0.178777946,-0.244213758,-0.018507436,-0.269863476,-0.145463583,-0.164971072,-0.086895377,0.022458584,-0.095899632,0.038173258,-0.088430606,0.081275999,0.029982136,-0.032994988,-0.042705396,-0.038951797,-0.059084549,-0.070686649,-0.054429293,-0.103531462,-0.050992987,0.015299922,0.022242965,-0.075935602,-0.196428312,-0.151394388,0.022984651,0.829041547,0.917420749,0.736478307,-0.096598672
-0.295042577,-0.244213758,-0.334036614,-0.242374167,-0.269863476,-0.030312337,-0.282560643,-0.164971072,-0.086895377,0.036334944,0.015299922,-0.088430606,-0.032994988,-0.042705396,-0.104907664,-0.054429293,-0.050992987,0.024493661,-0.012351345,-0.038951797,-0.059084549,0.081275999,0.022458584,0.024655295,-0.084375335,-0.018507436,0.016493929,-0.151394388,-0.075935602,0.022242965,0.736478307,0.829041547,0.642484159,-0.072556332
-0.334036614,-0.269863476,-0.357252381,-0.295042577,-0.282560643,0.013189068,-0.280849674,-0.086895377,0.036334944,0.129618778,-0.084375335,-0.042705396,-0.050992987,0.024493661,0.119878633,0.081275999,0.024655295,0.085559511,0.017648765,-0.012351345,-0.038951797,-0.104907664,0.015299922,0.061462566,0.168922871,-0.030312337,0.10856759,-0.075935602,0.016493929,-0.018507436,0.642484159,0.736478307,0.549817982,-0.033616996
-0.357252381,-0.282560643,-0.363341922,-0.334036614,-0.280849674,0.047270985,-0.263978118,0.036334944,0.129618778,0.141472077,0.168922871,0.024493661,0.024655295,0.085559511,-0.122265399,-0.104907664,0.061462566,0.113887087,0.04733059,0.017648765,-0.012351345,0.119878633,-0.084375335,-0.014680881,-0.129334994,0.013189068,0.182413993,0.016493929,0.10856759,-0.030312337,0.549817982,0.642484159,0.461145397,0.061358672
-0.363341922,-0.280849674,-0.351789795,-0.357252381,-0.263978118,0.00866002,-0.232001357,0.129618778,0.141472077,0.072121243,-0.129334994,0.085559511,0.061462566,0.113887087,0.110673931,0.119878633,-0.014680881,0.095945311,0.072790596,0.04733059,0.017648765,-0.122265399,0.168922871,-0.068622269,-0.053233735,0.047270985,0.223185765,0.10856759,0.182413993,0.013189068,0.461145397,0.549817982,0.378943084,0.121508471
-0.351789795,-0.263978118,-0.322948685,-0.363341922,-0.232001357,-0.058319019,-0.1858447,0.141472077,0.072121243,-0.031684438,-0.053233735,0.113887087,-0.014680881,0.095945311,-0.086592137,-0.122265399,-0.068622269,0.037943553,0.09045469,0.072790596,0.04733059,0.110673931,-0.129334994,0.003692281,0.190606193,0.00866002,0.222135267,0.182413993,0.223185765,0.047270985,0.378943084,0.461145397,0.305409827,0.234018553
-0.322948685,-0.232001357,-0.278031865,-0.351789795,-0.1858447,-0.04996514,-0.127314643,0.072121243,-0.031684438,-0.108478567,0.190606193,0.095945311,-0.068622269,0.037943553,0.053962727,0.110673931,0.003692281,-0.036268506,0.097575784,0.09045469,0.072790596,-0.086592137,-0.053233735,0.071691052,-0.140698299,-0.058319019,0.17854134,0.223185765,0.222135267,0.00866002,0.305409827,0.378943084,0.242387445,0.507446926
-0.278031865,-0.1858447,-0.219062411,-0.322948685,-0.127314643,0.041312024,-0.059054135,-0.031684438,-0.108478567,-0.118620608,-0.140698299,0.037943553,0.003692281,-0.036268506,-0.018087717,-0.086592137,0.071691052,-0.095416825,0.09264498,0.097575784,0.09045469,0.053962727,0.190606193,0.007556094,0.004824526,-0.04996514,0.100053282,0.222135267,0.17854134,-0.058319019,0.242387445,0.305409827,0.191294458,0.762867632
-0.219062411,-0.127314643,-0.148781318,-0.278031865,-0.059054135,0.091614276,0.015559667,-0.108478567,-0.118620608,-0.063708355,0.004824526,-0.036268506,0.071691052,-0.095416825,-0.015814881,0.053962727,0.007556094,-0.114624278,0.075656237,0.09264498,0.097575784,-0.018087717,-0.140698299,-0.070165206,0.042232177,0.041312024,0.00133983,0.17854134,0.100053282,-0.04996514,0.191294458,0.242387445,0.153074852,0.393783349
-0.148781318,-0.059054135,-0.070518727,-0.219062411,0.015559667,0.012572813,0.092572644,-0.118620608,-0.063708355,0.019786324,0.042232177,-0.095416825,0.007556094,-0.114624278,0.043964439,-0.018087717,-0.070165206,-0.086498158,0.048181905,0.075656237,0.09264498,-0.015814881,0.004824526,-0.018227941,-0.009923017,0.091614276,-0.098715403,0.100053282,0.00133983,0.041312024,0.153074852,0.191294458,0.128163793,0.904364321
-0.070518727,0.015559667,0.011965634,-0.148781318,0.092572644,-0.102028035,0.167659363,-0.063708355,0.019786324,0.084976357,-0.009923017,-0.114624278,-0.070165206,-0.086498158,-0.064851916,-0.015814881,-0.018227941,-0.024302294,0.013240461,0.048181905,0.075656237,0.043964439,0.042232177,0.063872573,0.035225673,0.012572813,-0.180720893,0.00133983,-0.098715403,0.091614276,0.128163793,0.153074852,0.116471548,0.590851279
0.011965634,0.092572644,0.094665066,-0.070518727,0.167659363,-0.085239204,0.236366649,0.019786324,0.084976357,0.100506329,0.035225673,-0.086498158,-0.018227941,-0.024302294,0.079262883,0.043964439,0.063872573,0.044301384,-0.025034606,0.013240461,0.048181905,-0.064851916,-0.009923017,0.027473869,-0.127032414,-0.102028035,-0.228637631,-0.098715403,-0.180720893,0.012572813,0.116471548,0.128163793,0.11738623,0.988848826
0.094665066,0.167659363,0.173522615,0.011965634,0.236366649,0.060247589,0.294381238,0.084976357,0.100506329,0.063889277,-0.127032414,-0.024302294,0.063872573,0.044301384,-0.089442337,-0.064851916,0.027473869,0.09000376,-0.061888566,-0.025034606,0.013240461,0.079262883,0.035225673,-0.052981285,0.132921632,-0.085239204,-0.233002286,-0.180720893,-0.228637631,-0.102028035,0.11738623,0.116471548,0.129795288,1.36040406
0.173522615,0.236366649,0.244632151,0.094665066,0.294381238,0.138077063,0.337805139,0.100506329,0.063889277,-0.001877949,0.132921632,0.044301384,0.027473869,0.09000376,0.09765569,0.079262883,-0.052981285,0.095066869,-0.092542238,-0.061888566,-0.025034606,-0.089442337,-0.127032414,-0.034526247,0.019299592,0.060247589,-0.192847499,-0.228637631,-0.233002286,-0.085239204,0.129795288,0.11738623,0.152125059,1.24166103
0.244632151,0.294381238,0.304433764,0.173522615,0.337805139,0.024996723,0.363420787,0.063889277,-0.001877949,-0.062857748,0.019299592,0.09000376,-0.052981285,0.095066869,-0.104673284,-0.089442337,-0.034526247,0.060790346,-0.112816103,-0.092542238,-0.061888566,0.09765569,0.132921632,0.037985794,-0.183973967,0.138077063,-0.115919964,-0.233002286,-0.192847499,0.060247589,0.152125059,0.129795288,0.182397001,0.981312088
0.304433764,0.337805139,0.349893616,0.244632151,0.363420787,-0.135733445,0.368927748,-0.001877949,-0.062857748,-0.090557716,-0.183973967,0.095066869,-0.034526247,0.060790346,0.108843892,0.09765569,0.037985794,0.005829618,-0.119699635,-0.112816103,-0.092542238,-0.104673284,0.019299592,0.038798521,0.17691115,0.024996723,-0.017148105,-0.192847499,-0.115919964,0.138077063,0.182397001,0.152125059,0.218298676,0.771244246
0.349893616,0.363420787,0.378659122,0.304433764,0.368927748,-0.115973221,0.353133659,-0.062857748,-0.090557716,-0.073169381,0.17691115,0.060790346,0.037985794,0.005829618,-0.106328414,-0.104673284,0.038798521,-0.043560525,-0.111788256,-0.119699635,-0.112816103,0.108843892,-0.183973967,-0.019683169,-0.012033089,-0.135733445,0.084327538,-0.115919964,-0.017148105,0.024996723,0.218298676,0.182397001,0.257267014,0.64157283
0.378659122,0.368927748,0.38918147,0.349893616,0.353133659,0.070298902,0.316084263,-0.090557716,-0.073169381,-0.019173366,-0.012033089,0.005829618,0.038798521,-0.043560525,0.092691589,0.108843892,-0.019683169,-0.066373441,-0.089525438,-0.111788256,-0.119699635,-0.106328414,0.17691115,-0.03995296,-0.129916519,-0.115973221,0.168953367,-0.017148105,0.084327538,-0.135733445,0.257267014,0.218298676,0.29658096,0.454626468
0.38918147,0.353133659,0.380799069,0.378659122,0.316084263,0.16719471,0.259120785,-0.073169381,-0.019173366,0.046280437,-0.129916519,-0.043560525,-0.019683169,-0.066373441,-0.065452725,-0.106328414,-0.03995296,-0.05640307,-0.055211403,-0.089525438,-0.111788256,0.092691589,-0.012033089,-0.000871915,0.130870841,0.070298902,0.220617062,0.084327538,0.168953367,-0.115973221,0.29658096,0.257267014,0.333460268,0.065295793
0.380799069,0.316084263,0.353777461,0.38918147,0.259120785,0.031895893,0.184857178,-0.019173366,0.046280437,0.091089021,0.130870841,-0.066373441,-0.03995296,-0.05640307,0.026576436,0.092691589,-0.000871915,-0.023918923,-0.012769714,-0.055211403,-0.089525438,-0.065452725,-0.129916519,0.037917954,-0.042710312,0.16719471,0.229779046,0.168953367,0.220617062,0.070298902,0.333460268,0.29658096,0.36516699,-0.477527431
0.353777461,0.259120785,0.309303343,0.380799069,0.184857178,-0.152320776,0.097074835,0.046280437,0.091089021,0.090136321,-0.042710312,-0.05640307,-0.000871915,-0.023918923,0.016434946,-0.065452725,0.037917954,0.011029793,0.032705098,-0.012769714,-0.055211403,0.026576436,0.130870841,0.022456204,-0.029873678,0.031895893,0.195259886,0.220617062,0.229779046,0.16719471,0.36516699,0.333460268,0.389106115,-0.569846692
